file:///abnl/?adsdata=qOiEh23BgSiGG21adVLzVDIw6Btq8p^TRRxJm3YG2EtFnT3EFEclv!2TSYLHyx3TXOl8vupEB9haAQQy3xDl^8AvcvZJBt4jYiWfHQ9o			URL is not valid
file:///abnl/?adsdata=1VrEWO34EM;993RADCxry;v0Pu7Tb8gYmEXBCRZn2ZtaFMXufHCbcMsGAHFVV;y;4JZ44QgqtzqAXyL6VuxIPybuCCHAvj455jH3			URL is not valid
http://localhost/			URL is not valid
file:///abnl/?adsdata=mANQ6Pjqr7;h7NTVSD5^D2ajR77u2qA!v74ycYukpNt9ykWM341wHXD6Uf!vqmL;v6GIT^6T2zaBSuxVxELl!qXejjrmP7ZbiuYfzVbc			URL is not valid
http://livench.com/count13.php	11	68	2016-12-27 17:26:53	Google Safebrowsing:malware site Dr.Web:malicious site G-Data:malware site Websense ThreatSeeker:malicious site AutoShun:malicious site Avira:malware site SCUMWARE.org:malware site Sophos:malicious site Yandex Safebrowsing:malware site Malware Domain Blocklist:malicious site Fortinet:malware site
http://auto-schade.de/seite4.htm	0	51	2013-11-25 09:22:39	
http://pouzvtnh.cz.cc/count16.php	5	64	2017-04-20 16:22:42	Websense ThreatSeeker:malicious site SCUMWARE.org:malware site Sophos:malicious site Yandex Safebrowsing:malware site Fortinet:malware site
http://womensproductsonline.com/_zc_install/relay.php	2	68	2016-11-29 10:14:33	BitDefender:phishing site Sucuri SiteCheck:malicious site
http://omcmwo.net/nxzC3mby.php	0	68	2016-09-02 23:15:04	
http://michaelmazur.net/xml.php	6	64	2017-03-20 16:24:19	Kaspersky:malware site Dr.Web:malicious site Websense ThreatSeeker:malicious site Sophos:malicious site Sucuri SiteCheck:malicious site Fortinet:malware site
http://www.harryhontzphoto.com/myalbum_files/dtd.php	1	58	2014-08-25 09:07:52	BitDefender:malware site
http://lgtsexop.ce.ms/count13.php	2	67	2016-07-02 13:07:31	Avira:malware site Sophos:malicious site
http://odysseychem.net/rel.php	2	68	2016-11-01 09:53:24	BitDefender:phishing site Fortinet:malware site
http://freecasualdatinglove.biz/	0	64	2017-05-23 14:13:47	
http://dublikaitedsr.com/main.php?page=e548d9923f8fe2a0	4	67	2016-05-28 14:16:40	Kaspersky:malware site Sophos:malicious site Yandex Safebrowsing:malware site Sucuri SiteCheck:malicious site
http://www.mydisley.com/cnt.php	5	39	2013-05-31 00:36:24	Kaspersky:malware site BitDefender:malware site Websense ThreatSeeker:malicious site Sophos:malicious site Sucuri SiteCheck:malicious site
http://subcosi.com/count2.php	6	65	2017-08-16 10:09:49	Kaspersky:malware site BitDefender:malware site Websense ThreatSeeker:malicious site Sophos:malicious site Yandex Safebrowsing:malware site Fortinet:malware site
http://wmjemtgkp.qhigh.com/d/404.php?go=1	4	68	2016-07-10 02:24:41	Websense ThreatSeeker:malicious site Yandex Safebrowsing:malware site Sucuri SiteCheck:malicious site Fortinet:malware site
http://haukxcusks.sexidude.com/counter/stats.php	2	64	2017-02-23 06:54:54	Fortinet:malware site ZeroCERT:malicious site
