JS_IDX,domain,filename,src,y_lable
25,clemsontigers.com,/mnt/sdb1/domcrawl/htmls/2/clemsontigers.com,https://5351813.fls.doubleclick.net/activityi;src=5351813;type=clem50;cat=homez0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=7182878863325.326?DB_LANG=C&DB_OEM_ID=28500&,
22,coloradofans.com,/mnt/sdb1/domcrawl/htmls/2/coloradofans.com,https://4514783.fls.doubleclick.net/activityi;src=4514783;type=invmedia;cat=xvsmbcya;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=6358811839111.256?,
11,coloradomesa.edu,/mnt/sdb1/domcrawl/htmls/2/coloradomesa.edu,https://5128487.fls.doubleclick.net/activityi;src=5128487;type=websi0;cat=homep0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=6786967256094.191?,
6,coloradomtn.edu,/mnt/sdb1/domcrawl/htmls/2/coloradomtn.edu,https://6382219.fls.doubleclick.net/activityi;src=6382219;type=2017d0;cat=color0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=4711459026370.366?,
0,commte.net,/mnt/sdb1/domcrawl/htmls/2/commte.net,https://as.ebis.ne.jp/resolv.php?argument=sRrG93Nh&tag_id=tag5175e60b2d83f&width=300&height=250&alt_img=&alt_link=,
40,comparic.pl,/mnt/sdb1/domcrawl/htmls/2/comparic.pl,https://5358935.fls.doubleclick.net/activityi;src=5358935;type=cnts10;cat=pl_tm00e;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=6498536024011.603?,
19,corporate.ppg.com,/mnt/sdb1/domcrawl/htmls/2/corporate.ppg.com,https://5441419.fls.doubleclick.net/activityi;src=5441419;type=ppgh;cat=ppgbr0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=1427071864959.7192?,
2,correosprepago.es,/mnt/sdb1/domcrawl/htmls/2/correosprepago.es,https://5153010.fls.doubleclick.net/activityi;src=5153010;type=corre0;cat=hpg_l0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=2325136044877.041?,
11,cpcb.nic.in,/mnt/sdb1/domcrawl/htmls/2/cpcb.nic.in,file:///tmp/external.php,
6,cruzverde.cl,/mnt/sdb1/domcrawl/htmls/2/cruzverde.cl,https://4529622.fls.doubleclick.net/activityi;src=4529622;type=cruzv005;cat=hpg_h0;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;ord=2711764537427.035?,
